review_id,company_name,job_title,company_id,job_title_id,review,attrition_level
2092114,Apple,Apple Employee,291,1,"""Working as an Apple Specialist is a great job. The pay is good, the benefits are great, and the work is interesting and challenging. Additionally, there is a lot of room for advancement within the company. However, the hours can be long, and the work can be stressful at times.""",high
2088195,Apple,Apple Employee,291,1,"""Great job and a cool company to work for with many perks and benefits. The only con is that it’s a very large company so culture changes with the department and you can easily fade and become another fly on the wall.""",high
2087555,Apple,Apple Employee,291,1,"""Good work environment. I have worked in a junior position but learned a lot. Thanks to my team.""",high
2087102,Apple,Operations Specialist,291,14662,"""I've worked for Apple for over 3 years now. They are an excellent company to work for as their benefits and workstyle is top-notch in the business. The only drawback is the jump between retail and corporate is near impossible without the long commitment.""",high
2076713,Apple,Apple Employee,291,1,"""Big company and innovative.
Good employee benefits.""",high
2070227,Apple,Apple Employee,291,1,"""Lots of room for advancement and developing one's career. After some time in this company, one can change careers within the company. It is a flexible company. Free courses, material, and paid education are the perks!""",high
2069753,Apple,Technical Specialist,291,8834,"""I've worked for Apple since 2014 and the benefits are amazing! Full health/vision/dental, stock options, 401k, discounts and more!""",high
2067231,Apple,Apple Employee,291,1,"""Great company culture and experience.""",high
2065449,Apple,Apple Employee,291,1,"""Apple is a successful company who gives a very good and fair opportunity for its employees.""",high
2061395,Apple,Apple Employee,291,1,"""I have worked for Apple for four years.  Apple work environment is exceptional and I would recommend everyone to work here.""",high
2059594,Apple,Apple Employee,291,1,"""Employed as a consultant on a one-year contract by Apex Systems. LLC. Performed GIS analysis and editing of data using Apple mapping software. Researched concepts applicable to related software. I enjoyed both the work and the people there.""",high
2045754,Apple,Apple Employee,291,1,"""Working for Apple since 2016. 2 years indirectly through BestBuy and the past 2 recent years as an Apple Employee, work culture, ethics and people are great. I admire the competition and which is what I strive on but yet you can reach out to peers all around the world and would be helped the same way as one team. Great company with great benefits but often time it’s not as easy to move up because being such a great company no one leaves for there to be a vacancy.""",high
2029140,Apple,Developer,291,62073,"""Very Good. Own the development, testing, and maintenance of native SDKs and Unity on different mobile platforms, their respective OS versions, and devices.""",high
2027278,Apple,Technical Specialist,291,8834,"""It was a great company to work for, they definitely helped develop me as a person.""",high
2025917,Apple,Apple Employee,291,1,"""Excellent place of work and a great opportunity to grow and learn.""",high
2023701,Apple,Product Service Engineering Technician,291,100959,"""I was welcomed by the entire team since the beginning. The first couple of months were meant for me to adapt to the team, the processes, the goals, and the mentality. Later on I started receiving my own projects with open freedom to develop them while receiving guidance by my supervisor along the way. I would definitely recommend a job with Apple.""",high
2021824,Apple,Senior Front End Developer,291,21971,"""It is a great company to work for""",high
2007097,Apple,Technical Product Manager,291,11432,"""I have worked in Apple and I have enjoyed what I have learnt in this organization. It has taught me to make products which appeal to the consumer and simplify the process. Excellent opportunity""",high
2006532,Apple,Dev Ops Engineer,291,141608,"""Good experience. It was fun learning new things.""",high
2004864,Apple,Cognizant Engineer,291,143073,"""I worked at apple for almost a year and had a great time there.Everyone was really friendly and welcoming to me even though I stated I don't particularly like Apple products.My skill set is unique enough that we did learn a lot from each other. I have  a new respect for the amount of quality assurance Apple puts into its product and why they command such a high price point. And they have opened into the world of HealthCare and all its standards and red tape.""",high
2000263,Apple,Apple Employee,291,1,"""Great mission, great products, great people and culture.""",high
1999931,Apple,Lead DevOps Engineer,291,144819,"""Learnt to do the teamwork.
Managers are very supportive.
Colleagues are engaging and help each other out in bringing out new ideas.""",high
1997156,Apple,Operations Support Specialist,291,12558,"""Great Place to work! The pathway to get to where I want to be is just taking longer than expected. Looking to grow as a CSM!""",high
1996544,Apple,Apple Employee,291,1,"""Good organization which is highly process oriented. I work with clients and recent one is with Apple.""",high
1995127,Apple,Apple Employee,291,1,"""I've found it as a strong company and people here are having a very friendly nature.""",high
1994038,Apple,Apple Employee,291,1,"""The job at apple is cool""",high
1992133,Apple,Senior SRE,291,147403,"""Not great for career growth.""",high
1990077,Apple,Apple Employee,291,1,"""I have worked for TransFirst  merchant services where I had the ability and the know how to assist our clients in anything from looking a transaction to building ios files to be download into the terminals.""",high
1987998,Apple,Technical Expert,291,22498,"""Phenomenal place to work while attending college""",high
1987132,Apple,QA Lead,291,13743,"""Nice company to work.
I would recommend working there""",high
1985667,Apple,Apple Employee,291,1,"""good interesting, i would like to recommennd other candidates to apply""",high
1983962,Apple,Application Support Lead,291,105536,"""It's a great company to work for, like any large company growing fast things could get out of hand and things could get a bit confusing who and where.""",high
1982860,Apple,Advisor,291,15215,"""Great culture and benefits""",high
1979453,Apple,Specialist,291,9603,"""I have worked with Codeucate as a Software Developer Intern, which is my first developer internship role. The company is a startup based in Chicago where they teach Gen-Z intro to CS courses and I had an amazing time creating their website using React.js.""",high
1976096,Apple,Apple Employee,291,1,"""I am working with APPLE which is the world most famous brand company. Every day is a learning day for learners because of new projects, events and thinking about the new versions, software  to modify for the customers that they can be use easily as a friendly and secure and feels no worry""",high
